"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
" -> Washington County, Rhode Island","","","","","","","","","","",""
"    Estimate","62,459","67,523","46.0","115,619","1,639","56","2,439","N","N","1,676","8,553"
"    Percent","48.1%","51.9%","(X)","89.0%","1.3%","0.0%","1.9%","N","N","1.3%","6.6%"
" -> Aiken County, South Carolina","","","","","","","","","","",""
"    Estimate","85,516","91,614","41.7","115,691","42,519","392","1,409","N","N","5,332","11,703"
"    Percent","48.3%","51.7%","(X)","65.3%","24.0%","0.2%","0.8%","N","N","3.0%","6.6%"
" -> Anderson County, South Carolina","","","","","","","","","","",""
"    Estimate","103,362","109,714","40.0","161,712","25,046","1,171","2,099","N","N","3,547","19,446"
"    Percent","48.5%","51.5%","(X)","75.9%","11.8%","0.5%","1.0%","N","N","1.7%","9.1%"
" -> Beaufort County, South Carolina","","","","","","","","","","",""
"    Estimate","97,725","101,254","48.1","139,675","30,848","430","1,872","N","N","10,407","15,747"
"    Percent","49.1%","50.9%","(X)","70.2%","15.5%","0.2%","0.9%","N","N","5.2%","7.9%"
" -> Berkeley County, South Carolina","","","","","","","","","","",""
"    Estimate","126,925","128,292","36.6","161,347","60,678","1,108","6,129","N","N","9,455","16,500"
"    Percent","49.7%","50.3%","(X)","63.2%","23.8%","0.4%","2.4%","N","N","3.7%","6.5%"
" -> Charleston County, South Carolina","","","","","","","","","","",""
"    Estimate","206,591","217,776","39.7","283,976","94,263","559","7,115","741","0","12,430","25,813"
"    Percent","48.7%","51.3%","(X)","66.9%","22.2%","0.1%","1.7%","0.2%","0.0%","2.9%","6.1%"
" -> Dorchester County, South Carolina","","","","","","","","","","",""
"    Estimate","82,958","86,875","38.2","104,593","43,650","265","3,815","N","N","4,629","12,725"
"    Percent","48.8%","51.2%","(X)","61.6%","25.7%","0.2%","2.2%","N","N","2.7%","7.5%"
" -> Florence County, South Carolina","","","","","","","","","","",""
"    Estimate","62,746","74,468","39.5","67,899","59,514","459","2,351","N","N","2,575","4,361"
"    Percent","45.7%","54.3%","(X)","49.5%","43.4%","0.3%","1.7%","N","N","1.9%","3.2%"
" -> Georgetown County, South Carolina","","","","","","","","","","",""
"    Estimate","31,114","34,617","52.6","N","N","N","N","N","N","N","N"
"    Percent","47.3%","52.7%","(X)","N","N","N","N","N","N","N","N"
" -> Greenville County, South Carolina","","","","","","","","","","",""
"    Estimate","270,927","287,109","38.5","377,249","90,082","2,942","13,464","2,169","547","19,085","53,957"
"    Percent","48.6%","51.4%","(X)","67.6%","16.1%","0.5%","2.4%","0.4%","0.1%","3.4%","9.7%"
" -> Greenwood County, South Carolina","","","","","","","","","","",""
"    Estimate","31,334","38,126","37.9","43,921","21,516","0","839","N","N","1,400","1,779"
"    Percent","45.1%","54.9%","(X)","63.2%","31.0%","0.0%","1.2%","N","N","2.0%","2.6%"
" -> Horry County, South Carolina","","","","","","","","","","",""
"    Estimate","192,732","204,746","49.3","305,895","44,798","2,032","6,495","442","136","9,542","28,199"
"    Percent","48.5%","51.5%","(X)","77.0%","11.3%","0.5%","1.6%","0.1%","0.0%","2.4%","7.1%"
" -> Kershaw County, South Carolina","","","","","","","","","","",""
"    Estimate","35,143","34,762","40.8","46,540","17,987","251","140","N","N","2,367","2,620"
"    Percent","50.3%","49.7%","(X)","66.6%","25.7%","0.4%","0.2%","N","N","3.4%","3.7%"
" -> Lancaster County, South Carolina","","","","","","","","","","",""
"    Estimate","52,929","55,286","42.6","73,597","20,987","84","3,879","N","N","1,763","7,905"
"    Percent","48.9%","51.1%","(X)","68.0%","19.4%","0.1%","3.6%","N","N","1.6%","7.3%"
" -> Laurens County, South Carolina","","","","","","","","","","",""
"    Estimate","33,133","35,740","42.2","45,649","15,666","415","207","N","N","2,650","4,286"
"    Percent","48.1%","51.9%","(X)","66.3%","22.7%","0.6%","0.3%","N","N","3.8%","6.2%"
" -> Lexington County, South Carolina","","","","","","","","","","",""
"    Estimate","150,034","159,494","40.8","222,395","43,871","717","6,661","651","35","8,815","27,036"
"    Percent","48.5%","51.5%","(X)","71.8%","14.2%","0.2%","2.2%","0.2%","0.0%","2.8%","8.7%"
" -> Oconee County, South Carolina","","","","","","","","","","",""
"    Estimate","39,949","41,272","47.2","67,911","4,991","75","709","N","N","4,759","2,632"
"    Percent","49.2%","50.8%","(X)","83.6%","6.1%","0.1%","0.9%","N","N","5.9%","3.2%"
" -> Orangeburg County, South Carolina","","","","","","","","","","",""
"    Estimate","38,328","44,492","41.2","27,855","49,491","404","720","N","N","1,079","3,271"
"    Percent","46.3%","53.7%","(X)","33.6%","59.8%","0.5%","0.9%","N","N","1.3%","3.9%"
" -> Pickens County, South Carolina","","","","","","","","","","",""
"    Estimate","67,171","68,324","36.7","113,330","7,392","604","1,482","N","N","3,384","9,303"
"    Percent","49.6%","50.4%","(X)","83.6%","5.5%","0.4%","1.1%","N","N","2.5%","6.9%"
" -> Richland County, South Carolina","","","","","","","","","","",""
"    Estimate","202,541","222,597","34.6","171,167","196,894","1,014","12,183","1,211","0","10,662","31,111"
"    Percent","47.6%","52.4%","(X)","40.3%","46.3%","0.2%","2.9%","0.3%","0.0%","2.5%","7.3%"
" -> Spartanburg County, South Carolina","","","","","","","","","","",""
"    Estimate","174,492","182,206","37.7","235,925","67,256","832","9,740","N","N","12,810","29,618"
"    Percent","48.9%","51.1%","(X)","66.1%","18.9%","0.2%","2.7%","N","N","3.6%","8.3%"
" -> Sumter County, South Carolina","","","","","","","","","","",""
"    Estimate","50,252","53,913","38.2","47,508","48,179","258","1,823","N","N","616","5,612"
"    Percent","48.2%","51.8%","(X)","45.6%","46.3%","0.2%","1.8%","N","N","0.6%","5.4%"
" -> York County, South Carolina","","","","","","","","","","",""
"    Estimate","144,081","154,239","40.3","201,707","53,814","2,567","9,671","378","0","6,262","24,299"
"    Percent","48.3%","51.7%","(X)","67.6%","18.0%","0.9%","3.2%","0.1%","0.0%","2.1%","8.1%"
" -> Lincoln County, South Dakota","","","","","","","","","","",""
"    Estimate","36,014","37,224","35.9","65,615","1,634","184","909","N","N","464","4,432"
"    Percent","49.2%","50.8%","(X)","89.6%","2.2%","0.3%","1.2%","N","N","0.6%","6.1%"
" -> Minnehaha County, South Dakota","","","","","","","","","","",""
"    Estimate","107,726","99,204","36.7","164,655","14,842","4,596","4,783","N","N","5,223","12,831"
"    Percent","52.1%","47.9%","(X)","79.6%","7.2%","2.2%","2.3%","N","N","2.5%","6.2%"
" -> Pennington County, South Dakota","","","","","","","","","","",""
"    Estimate","59,205","56,698","40.2","91,049","1,148","8,541","1,313","N","N","1,688","12,164"
"    Percent","51.1%","48.9%","(X)","78.6%","1.0%","7.4%","1.1%","N","N","1.5%","10.5%"
" -> Anderson County, Tennessee","","","","","","","","","","",""
"    Estimate","39,524","40,710","41.6","70,609","4,813","540","316","N","N","634","3,322"
"    Percent","49.3%","50.7%","(X)","88.0%","6.0%","0.7%","0.4%","N","N","0.8%","4.1%"
" -> Blount County, Tennessee","","","","","","","","","","",""
"    Estimate","68,869","72,587","43.8","126,189","3,724","95","1,394","N","N","1,554","8,466"
"    Percent","48.7%","51.3%","(X)","89.2%","2.6%","0.1%","1.0%","N","N","1.1%","6.0%"
" -> Bradley County, Tennessee","","","","","","","","","","",""
"    Estimate","54,713","56,866","38.0","92,163","5,138","171","1,382","N","N","2,735","9,856"
"    Percent","49.0%","51.0%","(X)","82.6%","4.6%","0.2%","1.2%","N","N","2.5%","8.8%"
" -> Davidson County, Tennessee","","","","","","","","","","",""
"    Estimate","344,357","367,977","34.8","393,300","170,602","7,486","23,091","3,941","494","31,422","85,529"
"    Percent","48.3%","51.7%","(X)","55.2%","23.9%","1.1%","3.2%","0.6%","0.1%","4.4%","12.0%"
" -> Greene County, Tennessee","","","","","","","","","","",""
"    Estimate","36,862","35,715","44.9","66,007","2,191","122","330","N","N","1,348","2,579"
"    Percent","50.8%","49.2%","(X)","90.9%","3.0%","0.2%","0.5%","N","N","1.9%","3.6%"
" -> Hamblen County, Tennessee","","","","","","","","","","",""
"    Estimate","31,820","34,396","40.1","52,031","3,087","71","741","N","N","3,627","6,659"
"    Percent","48.1%","51.9%","(X)","78.6%","4.7%","0.1%","1.1%","N","N","5.5%","10.1%"
" -> Hamilton County, Tennessee","","","","","","","","","","",""
"    Estimate","184,811","195,053","40.2","265,430","64,130","1,557","8,578","434","63","16,499","23,614"
"    Percent","48.7%","51.3%","(X)","69.9%","16.9%","0.4%","2.3%","0.1%","0.0%","4.3%","6.2%"
" -> Knox County, Tennessee","","","","","","","","","","",""
"    Estimate","247,569","253,100","37.5","397,881","41,824","663","10,793","4,187","485","12,684","36,421"
"    Percent","49.4%","50.6%","(X)","79.5%","8.4%","0.1%","2.2%","0.8%","0.1%","2.5%","7.3%"
" -> Madison County, Tennessee","","","","","","","","","","",""
"    Estimate","47,649","51,544","39.0","53,543","36,109","255","1,121","N","N","2,590","5,575"
"    Percent","48.0%","52.0%","(X)","54.0%","36.4%","0.3%","1.1%","N","N","2.6%","5.6%"
" -> Maury County, Tennessee","","","","","","","","","","",""
"    Estimate","54,746","56,014","37.9","87,837","9,964","401","740","N","N","2,065","9,753"
"    Percent","49.4%","50.6%","(X)","79.3%","9.0%","0.4%","0.7%","N","N","1.9%","8.8%"
" -> Montgomery County, Tennessee","","","","","","","","","","",""
"    Estimate","121,351","118,521","32.5","150,090","50,219","716","6,529","N","N","3,664","28,406"
"    Percent","50.6%","49.4%","(X)","62.6%","20.9%","0.3%","2.7%","N","N","1.5%","11.8%"
" -> Putnam County, Tennessee","","","","","","","","","","",""
"    Estimate","41,409","42,435","36.5","71,532","2,074","428","1,157","N","N","5,026","3,627"
"    Percent","49.4%","50.6%","(X)","85.3%","2.5%","0.5%","1.4%","N","N","6.0%","4.3%"
" -> Robertson County, Tennessee","","","","","","","","","","",""
"    Estimate","37,767","39,009","38.9","62,104","5,942","64","348","N","N","1,570","6,702"
"    Percent","49.2%","50.8%","(X)","80.9%","7.7%","0.1%","0.5%","N","N","2.0%","8.7%"
" -> Rutherford County, Tennessee","","","","","","","","","","",""
"    Estimate","179,322","187,779","34.6","235,523","51,847","541","13,710","1,717","345","18,563","45,458"
"    Percent","48.8%","51.2%","(X)","64.2%","14.1%","0.1%","3.7%","0.5%","0.1%","5.1%","12.4%"
" -> Sevier County, Tennessee","","","","","","","","","","",""
"    Estimate","48,320","51,095","43.4","85,198","171","503","1,367","N","N","2,493","9,683"
"    Percent","48.6%","51.4%","(X)","85.7%","0.2%","0.5%","1.4%","N","N","2.5%","9.7%"
" -> Shelby County, Tennessee","","","","","","","","","","",""
"    Estimate","430,809","479,233","36.0","302,845","475,978","3,593","24,358","3,225","678","42,442","60,376"
"    Percent","47.3%","52.7%","(X)","33.3%","52.3%","0.4%","2.7%","0.4%","0.1%","4.7%","6.6%"
" -> Sullivan County, Tennessee","","","","","","","","","","",""
"    Estimate","80,072","82,063","45.4","152,071","2,407","135","1,654","N","N","203","5,665"
"    Percent","49.4%","50.6%","(X)","93.8%","1.5%","0.1%","1.0%","N","N","0.1%","3.5%"
" -> Sumner County, Tennessee","","","","","","","","","","",""
"    Estimate","102,656","105,338","39.4","166,725","17,571","1,059","3,873","N","N","6,794","11,838"
"    Percent","49.4%","50.6%","(X)","80.2%","8.4%","0.5%","1.9%","N","N","3.3%","5.7%"
" -> Washington County, Tennessee","","","","","","","","","","",""
"    Estimate","68,144","70,276","41.4","120,019","5,161","86","1,744","N","N","1,387","9,889"
"    Percent","49.2%","50.8%","(X)","86.7%","3.7%","0.1%","1.3%","N","N","1.0%","7.1%"
" -> Williamson County, Tennessee","","","","","","","","","","",""
"    Estimate","130,525","133,935","40.8","216,582","10,740","543","12,838","1,871","52","3,529","20,228"
"    Percent","49.4%","50.6%","(X)","81.9%","4.1%","0.2%","4.9%","0.7%","0.0%","1.3%","7.6%"
" -> Wilson County, Tennessee","","","","","","","","","","",""
"    Estimate","80,953","82,721","40.3","131,390","11,960","973","3,288","N","N","5,010","11,053"
"    Percent","49.5%","50.5%","(X)","80.3%","7.3%","0.6%","2.0%","N","N","3.1%","6.8%"
" -> Angelina County, Texas","","","","","","","","","","",""
"    Estimate","42,599","44,720","37.6","53,712","8,932","690","571","N","N","4,795","18,619"
"    Percent","48.8%","51.2%","(X)","61.5%","10.2%","0.8%","0.7%","N","N","5.5%","21.3%"
" -> Bastrop County, Texas","","","","","","","","","","",""
"    Estimate","55,870","54,908","37.6","57,912","6,060","1,216","1,090","N","N","7,691","36,620"
"    Percent","50.4%","49.6%","(X)","52.3%","5.5%","1.1%","1.0%","N","N","6.9%","33.1%"
" -> Bell County, Texas","","","","","","","","","","",""
"    Estimate","195,082","198,111","32.5","188,202","91,854","2,487","11,762","147","554","29,925","66,281"
"    Percent","49.6%","50.4%","(X)","47.9%","23.4%","0.6%","3.0%","0.0%","0.1%","7.6%","16.9%"
" -> Bexar County, Texas","","","","","","","","","","",""
"    Estimate","1,036,123","1,051,556","35.0","871,141","168,445","32,254","71,839","7,774","1,768","245,823","693,820"
"    Percent","49.6%","50.4%","(X)","41.7%","8.1%","1.5%","3.4%","0.4%","0.1%","11.8%","33.2%"
" -> Bowie County, Texas","","","","","","","","","","",""
"    Estimate","45,729","45,958","39.4","58,625","21,820","246","1,115","N","N","2,578","6,850"
"    Percent","49.9%","50.1%","(X)","63.9%","23.8%","0.3%","1.2%","N","N","2.8%","7.5%"
" -> Brazoria County, Texas","","","","","","","","","","",""
"    Estimate","201,181","197,757","36.8","182,475","66,060","2,312","29,731","5,583","152","30,005","88,239"
"    Percent","50.4%","49.6%","(X)","45.7%","16.6%","0.6%","7.5%","1.4%","0.0%","7.5%","22.1%"
" -> Brazos County, Texas","","","","","","","","","","",""
"    Estimate","123,360","121,343","27.3","151,849","24,457","1,949","13,945","2,002","453","14,071","38,234"
"    Percent","50.4%","49.6%","(X)","62.1%","10.0%","0.8%","5.7%","0.8%","0.2%","5.8%","15.6%"
" -> Cameron County, Texas","","","","","","","","","","",""
"    Estimate","210,081","216,629","33.4","136,627","2,228","3,906","3,106","N","N","45,606","235,167"
"    Percent","49.2%","50.8%","(X)","32.0%","0.5%","0.9%","0.7%","N","N","10.7%","55.1%"
" -> Collin County, Texas","","","","","","","","","","",""
"    Estimate","595,752","599,607","37.6","631,685","133,403","5,729","232,884","34,522","4,825","47,344","144,039"
"    Percent","49.8%","50.2%","(X)","52.8%","11.2%","0.5%","19.5%","2.9%","0.4%","4.0%","12.0%"
" -> Comal County, Texas","","","","","","","","","","",""
"    Estimate","96,356","97,572","42.2","135,293","5,491","897","3,924","N","N","12,693","35,630"
"    Percent","49.7%","50.3%","(X)","69.8%","2.8%","0.5%","2.0%","N","N","6.5%","18.4%"
" -> Coryell County, Texas","","","","","","","","","","",""
"    Estimate","41,943","42,935","33.4","48,312","12,763","1,004","1,193","N","N","4,132","16,936"
"    Percent","49.4%","50.6%","(X)","56.9%","15.0%","1.2%","1.4%","N","N","4.9%","20.0%"
" -> Dallas County, Texas","","","","","","","","","","",""
"    Estimate","1,292,795","1,313,563","34.3","880,012","580,032","19,508","183,930","15,865","1,741","390,032","544,425"
"    Percent","49.6%","50.4%","(X)","33.8%","22.3%","0.7%","7.1%","0.6%","0.1%","15.0%","20.9%"
" -> Denton County, Texas","","","","","","","","","","",""
"    Estimate","499,170","508,533","37.3","560,385","118,587","6,283","118,979","11,083","1,170","50,410","152,012"
"    Percent","49.5%","50.5%","(X)","55.6%","11.8%","0.6%","11.8%","1.1%","0.1%","5.0%","15.1%"
" -> Ector County, Texas","","","","","","","","","","",""
"    Estimate","85,840","78,654","31.6","71,799","7,871","627","2,111","N","N","33,570","48,363"
"    Percent","52.2%","47.8%","(X)","43.6%","4.8%","0.4%","1.3%","N","N","20.4%","29.4%"
" -> Ellis County, Texas","","","","","","","","","","",""
"    Estimate","110,020","112,809","36.4","128,922","32,089","1,328","1,244","N","N","22,020","34,952"
"    Percent","49.4%","50.6%","(X)","57.9%","14.4%","0.6%","0.6%","N","N","9.9%","15.7%"
" -> El Paso County, Texas","","","","","","","","","","",""
"    Estimate","433,479","436,401","33.9","254,345","30,424","13,094","10,044","960","899","167,429","393,151"
"    Percent","49.8%","50.2%","(X)","29.2%","3.5%","1.5%","1.2%","0.1%","0.1%","19.2%","45.2%"
" -> Fort Bend County, Texas","","","","","","","","","","",""
"    Estimate","451,187","465,591","37.6","296,903","196,923","6,804","205,231","40,444","588","57,852","152,633"
"    Percent","49.2%","50.8%","(X)","32.4%","21.5%","0.7%","22.4%","4.4%","0.1%","6.3%","16.6%"
" -> Galveston County, Texas","","","","","","","","","","",""
"    Estimate","177,420","184,324","39.3","221,088","43,216","2,238","11,735","1,767","370","17,546","65,921"
"    Percent","49.0%","51.0%","(X)","61.1%","11.9%","0.6%","3.2%","0.5%","0.1%","4.9%","18.2%"
" -> Grayson County, Texas","","","","","","","","","","",""
"    Estimate","70,753","76,154","39.6","110,845","5,567","453","1,747","N","N","7,600","20,667"
"    Percent","48.2%","51.8%","(X)","75.5%","3.8%","0.3%","1.2%","N","N","5.2%","14.1%"
" -> Gregg County, Texas","","","","","","","","","","",""
"    Estimate","61,431","64,812","35.8","72,062","22,699","950","2,022","N","N","4,327","24,183"
"    Percent","48.7%","51.3%","(X)","57.1%","18.0%","0.8%","1.6%","N","N","3.4%","19.2%"
" -> Guadalupe County, Texas","","","","","","","","","","",""
"    Estimate","93,828","94,626","38.1","105,567","10,984","946","3,507","190","379","20,477","46,888"
"    Percent","49.8%","50.2%","(X)","56.0%","5.8%","0.5%","1.9%","0.1%","0.2%","10.9%","24.9%"
" -> Harris County, Texas","","","","","","","","","","",""
"    Estimate","2,400,063","2,435,062","34.8","1,633,986","936,371","60,265","362,037","62,094","4,697","730,264","1,106,982"
"    Percent","49.6%","50.4%","(X)","33.8%","19.4%","1.2%","7.5%","1.3%","0.1%","15.1%","22.9%"
" -> Harrison County, Texas","","","","","","","","","","",""
"    Estimate","34,673","36,222","38.8","45,774","14,442","281","567","N","N","3,383","6,438"
"    Percent","48.9%","51.1%","(X)","64.6%","20.4%","0.4%","0.8%","N","N","4.8%","9.1%"
" -> Hays County, Texas","","","","","","","","","","",""
"    Estimate","140,263","140,223","34.2","173,615","11,770","2,594","7,789","1,400","126","31,113","52,968"
"    Percent","50.0%","50.0%","(X)","61.9%","4.2%","0.9%","2.8%","0.5%","0.0%","11.1%","18.9%"
" -> Henderson County, Texas","","","","","","","","","","",""
"    Estimate","41,561","44,597","45.2","65,969","3,951","372","399","N","N","2,994","12,232"
"    Percent","48.2%","51.8%","(X)","76.6%","4.6%","0.4%","0.5%","N","N","3.5%","14.2%"
" -> Hidalgo County, Texas","","","","","","","","","","",""
"    Estimate","443,792","454,679","30.9","246,180","7,355","3,724","9,491","705","939","88,067","543,220"
"    Percent","49.4%","50.6%","(X)","27.4%","0.8%","0.4%","1.1%","0.1%","0.1%","9.8%","60.5%"
" -> Hood County, Texas","","","","","","","","","","",""
"    Estimate","33,053","34,721","46.1","54,992","478","114","292","N","N","3,373","8,505"
"    Percent","48.8%","51.2%","(X)","81.1%","0.7%","0.2%","0.4%","N","N","5.0%","12.5%"
" -> Hunt County, Texas","","","","","","","","","","",""
"    Estimate","55,601","57,746","37.2","74,940","10,153","1,593","1,437","N","N","11,280","13,944"
"    Percent","49.1%","50.9%","(X)","66.1%","9.0%","1.4%","1.3%","N","N","10.0%","12.3%"
" -> Jefferson County, Texas","","","","","","","","","","",""
"    Estimate","130,114","121,382","37.5","98,974","80,636","2,075","9,381","82","183","35,787","24,643"
"    Percent","51.7%","48.3%","(X)","39.4%","32.1%","0.8%","3.7%","0.0%","0.1%","14.2%","9.8%"
" -> Johnson County, Texas","","","","","","","","","","",""
"    Estimate","101,969","100,937","37.3","139,405","11,927","1,540","2,619","12","50","10,420","36,720"
"    Percent","50.3%","49.7%","(X)","68.7%","5.9%","0.8%","1.3%","0.0%","0.0%","5.1%","18.1%"
" -> Kaufman County, Texas","","","","","","","","","","",""
"    Estimate","91,679","94,011","33.7","94,364","38,015","3,519","4,289","N","N","11,923","33,580"
"    Percent","49.4%","50.6%","(X)","50.8%","20.5%","1.9%","2.3%","N","N","6.4%","18.1%"
" -> Liberty County, Texas","","","","","","","","","","",""
"    Estimate","53,277","54,995","32.8","58,414","7,926","3,961","853","N","N","22,619","14,499"
"    Percent","49.2%","50.8%","(X)","54.0%","7.3%","3.7%","0.8%","N","N","20.9%","13.4%"
" -> Lubbock County, Texas","","","","","","","","","","",""
"    Estimate","158,220","162,720","32.1","205,671","24,789","2,485","7,070","1,078","91","21,188","59,518"
"    Percent","49.3%","50.7%","(X)","64.1%","7.7%","0.8%","2.2%","0.3%","0.0%","6.6%","18.5%"
" -> McLennan County, Texas","","","","","","","","","","",""
"    Estimate","131,873","136,710","34.2","153,325","38,571","1,532","4,523","N","N","10,616","60,016"
"    Percent","49.1%","50.9%","(X)","57.1%","14.4%","0.6%","1.7%","N","N","4.0%","22.3%"
" -> Midland County, Texas","","","","","","","","","","",""
"    Estimate","90,038","87,070","32.9","97,993","14,436","2,029","4,200","N","N","24,237","34,213"
"    Percent","50.8%","49.2%","(X)","55.3%","8.2%","1.1%","2.4%","N","N","13.7%","19.3%"
" -> Montgomery County, Texas","","","","","","","","","","",""
"    Estimate","353,289","358,065","37.3","470,687","53,285","6,253","22,971","4,234","273","40,731","116,766"
"    Percent","49.7%","50.3%","(X)","66.2%","7.5%","0.9%","3.2%","0.6%","0.0%","5.7%","16.4%"
" -> Nacogdoches County, Texas","","","","","","","","","","",""
"    Estimate","32,000","33,375","32.8","41,686","10,704","178","801","N","N","5,490","6,516"
"    Percent","48.9%","51.1%","(X)","63.8%","16.4%","0.3%","1.2%","N","N","8.4%","10.0%"
" -> Nueces County, Texas","","","","","","","","","","",""
"    Estimate","175,174","177,115","37.3","154,359","12,855","3,756","8,199","329","0","23,489","149,484"
"    Percent","49.7%","50.3%","(X)","43.8%","3.6%","1.1%","2.3%","0.1%","0.0%","6.7%","42.4%"
" -> Orange County, Texas","","","","","","","","","","",""
"    Estimate","41,344","44,378","38.6","67,308","7,197","157","1,256","N","N","3,255","6,407"
"    Percent","48.2%","51.8%","(X)","78.5%","8.4%","0.2%","1.5%","N","N","3.8%","7.5%"
" -> Parker County, Texas","","","","","","","","","","",""
"    Estimate","86,204","87,290","38.3","140,673","2,605","519","1,081","N","N","5,015","23,226"
"    Percent","49.7%","50.3%","(X)","81.1%","1.5%","0.3%","0.6%","N","N","2.9%","13.4%"
" -> Potter County, Texas","","","","","","","","","","",""
"    Estimate","57,822","56,825","35.4","61,634","12,139","984","5,364","N","N","10,309","23,627"
"    Percent","50.4%","49.6%","(X)","53.8%","10.6%","0.9%","4.7%","N","N","9.0%","20.6%"
" -> Randall County, Texas","","","","","","","","","","",""
"    Estimate","73,108","75,147","37.0","111,953","5,674","957","3,064","N","N","4,984","21,623"
"    Percent","49.3%","50.7%","(X)","75.5%","3.8%","0.6%","2.1%","N","N","3.4%","14.6%"
" -> Rockwall County, Texas","","","","","","","","","","",""
"    Estimate","64,969","66,338","37.6","84,630","13,453","955","4,276","959","271","11,334","16,659"
"    Percent","49.5%","50.5%","(X)","64.5%","10.2%","0.7%","3.3%","0.7%","0.2%","8.6%","12.7%"
" -> San Patricio County, Texas","","","","","","","","","","",""
"    Estimate","36,464","34,196","38.4","35,134","489","458","1,908","N","N","6,809","25,862"
"    Percent","51.6%","48.4%","(X)","49.7%","0.7%","0.6%","2.7%","N","N","9.6%","36.6%"
" -> Smith County, Texas","","","","","","","","","","",""
"    Estimate","118,479","126,730","38.2","160,010","38,929","959","3,591","N","N","15,249","26,471"
"    Percent","48.3%","51.7%","(X)","65.3%","15.9%","0.4%","1.5%","N","N","6.2%","10.8%"
" -> Starr County, Texas","","","","","","","","","","",""
"    Estimate","32,153","33,781","29.9","N","N","N","N","N","N","N","N"
"    Percent","48.8%","51.2%","(X)","N","N","N","N","N","N","N","N"
" -> Tarrant County, Texas","","","","","","","","","","",""
"    Estimate","1,071,661","1,111,286","35.3","1,036,813","392,856","14,334","132,870","10,008","1,236","168,224","432,471"
"    Percent","49.1%","50.9%","(X)","47.5%","18.0%","0.7%","6.1%","0.5%","0.1%","7.7%","19.8%"
" -> Taylor County, Texas","","","","","","","","","","",""
"    Estimate","72,412","74,424","34.0","99,367","9,726","1,164","3,025","N","N","6,362","25,111"
"    Percent","49.3%","50.7%","(X)","67.7%","6.6%","0.8%","2.1%","N","N","4.3%","17.1%"
" -> Tom Green County, Texas","","","","","","","","","","",""
"    Estimate","59,260","59,797","37.2","74,727","3,508","692","1,797","N","N","7,139","31,194"
"    Percent","49.8%","50.2%","(X)","62.8%","2.9%","0.6%","1.5%","N","N","6.0%","26.2%"
" -> Travis County, Texas","","","","","","","","","","",""
"    Estimate","683,820","651,141","36.1","727,234","107,645","11,073","112,639","23,920","1,883","98,045","276,947"
"    Percent","51.2%","48.8%","(X)","54.5%","8.1%","0.8%","8.4%","1.8%","0.1%","7.3%","20.7%"
" -> Victoria County, Texas","","","","","","","","","","",""
"    Estimate","45,038","46,626","37.2","46,233","5,944","210","934","N","N","11,365","26,978"
"    Percent","49.1%","50.9%","(X)","50.4%","6.5%","0.2%","1.0%","N","N","12.4%","29.4%"
" -> Walker County, Texas","","","","","","","","","","",""
"    Estimate","47,453","33,815","36.9","49,420","16,831","567","390","N","N","5,155","8,676"
"    Percent","58.4%","41.6%","(X)","60.8%","20.7%","0.7%","0.5%","N","N","6.3%","10.7%"
" -> Webb County, Texas","","","","","","","","","","",""
"    Estimate","133,501","135,647","30.5","50,451","1,381","431","782","N","N","30,730","185,345"
"    Percent","49.6%","50.4%","(X)","18.7%","0.5%","0.2%","0.3%","N","N","11.4%","68.9%"
" -> Wichita County, Texas","","","","","","","","","","",""
"    Estimate","67,872","62,308","35.6","91,782","15,246","525","3,034","114","136","5,482","14,062"
"    Percent","52.1%","47.9%","(X)","70.5%","11.7%","0.4%","2.3%","0.1%","0.1%","4.2%","10.8%"
" -> Williamson County, Texas","","","","","","","","","","",""
"    Estimate","349,307","347,884","37.4","402,791","49,279","2,952","75,173","10,788","836","45,870","120,099"
"    Percent","50.1%","49.9%","(X)","57.8%","7.1%","0.4%","10.8%","1.5%","0.1%","6.6%","17.2%"
" -> Wise County, Texas","","","","","","","","","","",""
"    Estimate","39,285","38,812","40.6","62,247","1,555","73","805","N","N","6,386","7,031"
"    Percent","50.3%","49.7%","(X)","79.7%","2.0%","0.1%","1.0%","N","N","8.2%","9.0%"
" -> Cache County, Utah","","","","","","","","","","",""
"    Estimate","70,252","72,141","26.6","117,305","2,023","726","2,015","N","N","6,775","12,602"
"    Percent","49.3%","50.7%","(X)","82.4%","1.4%","0.5%","1.4%","N","N","4.8%","8.9%"
" -> Davis County, Utah","","","","","","","","","","",""
"    Estimate","189,209","183,998","32.9","309,493","4,670","1,865","9,340","530","923","6,984","37,244"
"    Percent","50.7%","49.3%","(X)","82.9%","1.3%","0.5%","2.5%","0.1%","0.2%","1.9%","10.0%"
" -> Salt Lake County, Utah","","","","","","","","","","",""
"    Estimate","600,184","585,629","34.4","828,993","19,809","13,842","50,601","13,141","3,332","119,241","134,962"
"    Percent","50.6%","49.4%","(X)","69.9%","1.7%","1.2%","4.3%","1.1%","0.3%","10.1%","11.4%"
